model,task,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
LightGBM,TON_IoT binary,0.9989657385744548,9.572637516415319e-05,0.9991784161772419,0.00023734481197935312,0.9994947240203974,0.00013046615046645823,0.9993365187107175,6.130511509207266e-05,0.9999836823752638,9.957006231591308e-06,0.9999954396441874,2.7362079190832068e-06
Random Forest,TON_IoT binary,0.9987819871503746,0.0001861649542260684,0.9990235709362689,0.00021392258918857132,0.9994138816882625,0.00023043736170728075,0.9992186600426065,0.00011943989838523714,0.9999823635128374,1.0994159182995754e-05,0.9999949146670637,3.189456475170712e-06
XGBoost,TON_IoT binary,0.9986034846565641,0.00021836085682448993,0.998929241616775,0.00024875100594871983,0.9992791407613428,0.00011571210241014386,0.9991041461009612,0.00013999370619664273,0.9999767370560239,1.1914327705906061e-05,0.9999934919490844,3.2594500924395645e-06
Decision Tree,TON_IoT binary,0.9916314033192035,0.00019593516826141131,0.9920186795952237,0.00027391077451812795,0.9972849901117827,0.00017916937816123452,0.9946448333970107,0.0001249226591877438,0.9863250320027788,0.0004780851688808919,0.9924251460388522,0.00027114299019882527
Logistic Regression,TON_IoT binary,0.9851370830990517,0.0005559176349871344,0.9908506723275213,0.00033100950949088763,0.9900696648545703,0.00040226539207152906,0.9904600080315404,0.0003571353871378784,0.9945541010317275,0.0001896763275935162,0.998210798497986,0.00015869790725290867
