model,accuracy,precision,recall,f1,roc_auc,pr_auc,inference_ms_per_1k,model_size_mb
LightGBM,0.9988187426171413,0.9989563695125235,0.9995284131101155,0.9992423094408244,0.9999877427952154,0.9999965238151409,77.63215000741184,1.375197410583496
Random Forest,0.9985037406483791,0.9986872222970243,0.99939367399872,0.9990403232595336,0.9999802791009799,0.9999943793408772,303.1642799731344,21.908122062683105
XGBoost,0.9983199894999344,0.9986533346799986,0.9991915653316267,0.9989223775046304,0.9999750469030885,0.9999929344366544,87.05067997798324,0.7648019790649414
Decision Tree,0.9910749442184014,0.9913276410513979,0.9972715329942399,0.9942907039226222,0.9855626393122766,0.9920222208788981,47.220130008645356,0.019443511962890625
Logistic Regression,0.9844074025462659,0.9902928983113688,0.9896924579782397,0.9899925871015567,0.9944630005406551,0.998091461025885,55.545960017479956,0.015848159790039062
