model,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc_macro,pr_auc_macro,inference_ms_per_1k,model_size_mb
XGBoost,0.9896049350308439,0.969444448553096,0.9896463009928217,0.9669551141210446,0.972162678842043,0.9998009291272677,0.9850426434624586,129.37966999597847,7.199347496032715
LightGBM,0.9896836855230345,0.9692501382798737,0.9896739368245883,0.9700450951183919,0.9685046959278327,0.9998288609392839,0.9849930385731103,550.8511499734595,13.138213157653809
Random Forest,0.9879774248589054,0.9677929458448118,0.9880331780245839,0.9645930189184616,0.971314827637119,0.9996730782041112,0.9862300779328026,317.1071699820459,180.44155406951904
Logistic Regression,0.8526053287833049,0.790322681587289,0.8496852145590994,0.8105856576995238,0.7857846581600602,0.9854112225573346,0.8358262899298492,43.757719988934696,0.022279739379882812
Decision Tree,0.8147788423677648,0.7145338982477834,0.8041101579464708,0.8167776796807011,0.7330188343428438,0.9684888843795265,0.7290682443434442,42.80381998978555,0.022480010986328125
