model,target,format,size_original_kb,size_quantized_kb,compression_ratio,f1,roc_auc,sram_bytes,fits_sram,note
logreg,Arduino Mega 2560,C (m2cgen),4.44,3.2,1.38,0.99,0.9945,3281,True,LR: double score(input) → logit; soglia 0.0; predict(): score>0
tree_depth5,Arduino Mega 2560,C (m2cgen),8.07,4.76,1.69,0.9943,0.986,4878,True,"DT: void score(input, output[2]); predict(): argmax(output)"
mlp,ESP32-C3,TFLite Micro INT8 (.tflite + .h),121.69,13.03,9.34,0.9959,0.9993,13344,True,INT8 full-integer; input/output int8; calib 200 campioni
xgboost,ESP32-C3,INT8 binario (.bin) — foglie+soglie quantizzate,771.12,369.52,2.09,0.9989,1.0,378390,True,INT8 binario: foglie+soglie quantizzate; hist max_bin=256 durante training
lightgbm,ESP32-C3,INT8 binario (.bin) — foglie+soglie quantizzate,1396.24,73.85,18.91,0.9992,1.0,75622,True,INT8 binario: foglie+soglie quantizzate; max_bin=255 durante training
