file,n,accuracy,ci_lo_pct,ci_hi_pct,lat_mean_us,lat_std_us,lat_min_us,lat_max_us,preproc_mean_us,sram_min_loop,sram_inside_min
20260529_152442_ArduinoMega2560_LogisticRegression.csv,500,1.0,99.2,100.0,1270.2,56.4,1208,1352,,7180,
20260529_153010_ESP32-C3-SuperMini_LogisticRegression.csv,500,1.0,99.2,100.0,145.7,5.2,141,183,,309704,
20260529_153401_ArduinoMega2560_DecisionTree_depth5.csv,500,1.0,99.2,100.0,35.7,3.5,28,44,,7182,
20260529_154025_ESP32-C3-SuperMini_DecisionTree_depth5.csv,500,1.0,99.2,100.0,3.0,0.9,2,12,,309704,
20260529_154901_ESP32-C3-SuperMini_MLP_TFLite_INT8.csv,500,1.0,99.2,100.0,805.7,16.6,792,903,,1676,
20260529_155845_ESP32-C3-SuperMini_XGBoost_INT8.csv,500,1.0,99.2,100.0,8238.7,432.3,7801,8683,,308808,
20260529_160013_ESP32-C3-SuperMini_LightGBM_INT8.csv,500,1.0,99.2,100.0,5563.3,10.0,5553,5608,,303208,
